1,3
2,7
3,10
4,3
5,0
6,0
7,8
8,6
9,9
10,3
11,11
12,9
13,5
14,4
15,3
16,7
17,2
18,5
19,7
20,7
21,1
22,3
23,4
24,1
25,4
26,1
27,4
28,0
29,2
30,7
31,10
32,1
33,1
34,2
35,5
36,0
37,9
38,10
39,4
40,4
41,5
42,4
43,6
44,5
45,9
46,1
47,8
48,0
49,11
50,7
51,0
52,1
53,10
54,6
55,2
56,10
57,0
58,1
59,3
60,1
61,6
62,2
63,2
64,11
65,6
66,5
67,4
68,7
69,10
70,10
71,3
72,5
73,10
74,8
75,6
76,6
77,4
78,11
79,6
80,2
81,11
82,4
83,6
84,3
85,9
86,3
87,4
88,5
89,0
90,7
91,6
92,4
93,5
94,8
95,9
96,11
97,2
98,5
99,9
100,1
101,10
102,0
103,7
104,8
105,1
106,0
107,0
108,9
109,3
110,0
111,0
112,0
113,1
114,2
115,6
